Step,AgentID,Trust,Group
0,0,0.5,Broker
0,1,0.7,A
0,2,0.3,B
0,3,0.7,A
0,4,0.3,B
0,5,0.7,A
0,6,0.3,B
0,7,0.7,A
0,8,0.3,B
0,9,0.7,A
1,8,0.29,B
1,5,0.69,A
1,9,0.69,A
1,3,0.69,A
1,2,0.29,B
1,0,0.5,Broker
1,6,0.29,B
1,4,0.29,B
1,7,0.69,A
1,1,0.69,A
2,3,0.6799999999999999,A
2,1,0.6799999999999999,A
2,8,0.27999999999999997,B
2,4,0.27999999999999997,B
2,2,0.27999999999999997,B
2,7,0.6799999999999999,A
2,6,0.27999999999999997,B
2,0,0.5,Broker
2,5,0.6799999999999999,A
2,9,0.6799999999999999,A
3,3,0.6699999999999999,A
3,0,0.5,Broker
3,6,0.26999999999999996,B
3,5,0.6699999999999999,A
3,4,0.26999999999999996,B
3,9,0.6699999999999999,A
3,1,0.6699999999999999,A
3,8,0.26999999999999996,B
3,2,0.26999999999999996,B
3,7,0.6699999999999999,A
4,3,0.6599999999999999,A
4,8,0.25999999999999995,B
4,1,0.6599999999999999,A
4,7,0.6599999999999999,A
4,6,0.25999999999999995,B
4,2,0.25999999999999995,B
4,4,0.25999999999999995,B
4,9,0.6599999999999999,A
4,5,0.6599999999999999,A
4,0,0.5,Broker
5,3,0.6499999999999999,A
5,9,0.6499999999999999,A
5,4,0.24999999999999994,B
5,8,0.24999999999999994,B
5,0,0.5,Broker
5,5,0.6499999999999999,A
5,2,0.24999999999999994,B
5,7,0.6499999999999999,A
5,1,0.6499999999999999,A
5,6,0.24999999999999994,B
6,2,0.23999999999999994,B
6,7,0.6399999999999999,A
6,1,0.6399999999999999,A
6,5,0.6399999999999999,A
6,0,0.5,Broker
6,9,0.6399999999999999,A
6,8,0.23999999999999994,B
6,4,0.23999999999999994,B
6,3,0.6399999999999999,A
6,6,0.23999999999999994,B
7,6,0.22999999999999993,B
7,5,0.6299999999999999,A
7,1,0.6299999999999999,A
7,8,0.22999999999999993,B
7,3,0.6299999999999999,A
7,7,0.6299999999999999,A
7,4,0.22999999999999993,B
7,9,0.6299999999999999,A
7,2,0.22999999999999993,B
7,0,0.5,Broker
8,8,0.21999999999999992,B
8,4,0.21999999999999992,B
8,1,0.6199999999999999,A
8,0,0.5,Broker
8,6,0.21999999999999992,B
8,9,0.6199999999999999,A
8,7,0.6199999999999999,A
8,2,0.21999999999999992,B
8,5,0.6199999999999999,A
8,3,0.6199999999999999,A
9,7,0.6099999999999999,A
9,4,0.2099999999999999,B
9,3,0.6099999999999999,A
9,9,0.6099999999999999,A
9,0,0.5,Broker
9,1,0.6099999999999999,A
9,6,0.2099999999999999,B
9,8,0.2099999999999999,B
9,5,0.6099999999999999,A
9,2,0.2099999999999999,B
10,7,0.5999999999999999,A
10,5,0.5999999999999999,A
10,9,0.5999999999999999,A
10,1,0.5999999999999999,A
10,3,0.5999999999999999,A
10,6,0.1999999999999999,B
10,0,0.5,Broker
10,4,0.1999999999999999,B
10,2,0.1999999999999999,B
10,8,0.1999999999999999,B
11,6,0.1699999999999999,B
11,7,0.5699999999999998,A
11,5,0.5699999999999998,A
11,4,0.1699999999999999,B
11,3,0.5699999999999998,A
11,9,0.5699999999999998,A
11,2,0.1699999999999999,B
11,8,0.1699999999999999,B
11,0,0.5,Broker
11,1,0.5699999999999998,A
12,6,0.1399999999999999,B
12,9,0.5399999999999998,A
12,2,0.1399999999999999,B
